url, extension, reason_for_invalidation
https://api.github.com/repos/python-telegram-bot/python-telegram-bot/contents/.github/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/joke2k/faker/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/gunthercox/ChatterBot/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/aio-libs/aiohttp/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/getpelican/pelican/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/pallets/click/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/beetbox/beets/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/networkx/networkx/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/django-cms/django-cms/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/scipy/scipy/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/pallets/jinja/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/sloria/TextBlob/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/aws/chalice/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/Delgan/loguru/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/mopidy/mopidy/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/pytest-dev/pytest/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/pyeve/eve/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/readthedocs/readthedocs.org/contents/.github/CONTRIBUTING.rst,rst,contributing size < 0.5kB.contributing is not in Markdown.
https://api.github.com/repos/boto/boto3/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
